,RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
34,35,15732963,722,2,0,29,9,0.0,2,1,1,142033.07,0
35,36,15794171,475,0,0,45,0,134264.04,1,1,0,27822.99,1
36,37,15788448,490,2,1,31,3,145260.23,1,0,1,114066.77,0
37,38,15729599,804,2,1,33,7,76548.6,1,0,1,98453.45,0
38,39,15717426,850,0,1,36,7,0.0,1,1,1,40812.9,0
39,40,15585768,582,1,1,41,6,70349.48,2,0,1,178074.04,0
40,41,15619360,472,2,1,40,4,0.0,1,1,0,70154.22,0
41,42,15738148,465,0,0,51,8,122522.32,1,0,0,181297.65,1
42,43,15687946,556,0,0,61,2,117419.35,1,1,1,94153.83,0
43,44,15755196,834,0,0,49,2,131394.56,1,0,0,194365.76,1
44,45,15684171,660,2,0,61,5,155931.11,1,1,1,158338.39,0
45,46,15754849,776,1,0,32,4,109421.13,2,1,1,126517.46,0
46,47,15602280,829,1,0,27,9,112045.67,1,1,1,119708.21,1
47,48,15771573,637,1,0,39,9,137843.8,1,1,1,117622.8,1
48,49,15766205,550,1,1,38,2,103391.38,1,0,1,90878.13,0
49,50,15771873,776,1,0,37,2,103769.22,2,1,0,194099.12,0
50,51,15616550,698,1,1,44,10,116363.37,2,1,0,198059.16,0
51,52,15768193,585,1,1,36,5,146050.97,2,0,0,86424.57,0
52,53,15683553,788,0,0,33,5,0.0,2,0,0,116978.19,0
53,54,15702298,655,1,1,41,8,125561.97,1,0,0,164040.94,1
54,55,15569590,601,1,1,42,1,98495.72,1,1,0,40014.76,1
55,56,15760861,619,0,1,43,1,125211.92,1,1,1,113410.49,0
56,57,15630053,656,0,1,45,5,127864.4,1,1,0,87107.57,0
57,58,15647091,725,1,1,19,0,75888.2,1,0,0,45613.75,0
58,59,15623944,511,2,0,66,4,0.0,1,1,0,1643.11,1
59,60,15804771,614,0,1,51,4,40685.92,1,1,1,46775.28,0
60,61,15651280,742,1,1,35,5,136857.0,1,0,0,84509.57,0
61,62,15773469,687,1,0,27,9,152328.88,2,0,0,126494.82,0
62,63,15702014,555,2,1,33,1,56084.69,2,0,0,178798.13,0
63,64,15751208,684,2,1,56,8,78707.16,1,1,1,99398.36,0
64,65,15592461,603,1,1,26,4,109166.37,1,1,1,92840.67,0
65,66,15789484,751,1,0,36,6,169831.46,2,1,1,27758.36,0
66,67,15696061,581,1,0,34,1,101633.04,1,1,0,110431.51,0
67,68,15641582,735,1,1,43,10,123180.01,2,1,1,196673.28,0
68,69,15638424,661,1,0,35,5,150725.53,2,0,1,113656.85,0
69,70,15755648,675,0,0,21,8,98373.26,1,1,0,18203.0,0
70,71,15703793,738,1,1,58,2,133745.44,4,1,0,28373.86,1
71,72,15620344,813,0,1,29,6,0.0,1,1,0,33953.87,0
72,73,15812518,657,2,0,37,0,163607.18,1,0,1,44203.55,0
73,74,15779052,604,1,0,25,5,157780.84,2,1,1,58426.81,0
74,75,15770811,519,0,1,36,9,0.0,2,0,1,145562.4,0
75,76,15780961,735,0,0,21,1,178718.19,2,1,0,22388.0,0
76,77,15614049,664,0,1,55,8,0.0,2,1,1,139161.64,0
77,78,15662085,678,0,0,32,9,0.0,1,1,1,148210.64,0
78,79,15575185,757,2,1,33,5,77253.22,1,0,1,194239.63,0
79,80,15803136,416,1,0,41,10,122189.66,2,1,0,98301.61,0
80,81,15706021,665,0,0,34,1,96645.54,2,0,0,171413.66,0
81,82,15663706,777,0,0,32,2,0.0,1,1,0,136458.19,1
82,83,15641732,543,0,0,36,3,0.0,2,0,0,26019.59,0
83,84,15701164,506,0,0,34,4,90307.62,1,1,1,159235.29,0
84,85,15738751,493,0,0,46,4,0.0,2,1,0,1907.66,0
85,86,15805254,652,2,0,75,10,0.0,2,1,1,114675.75,0
86,87,15762418,750,2,1,22,3,121681.82,1,1,0,128643.35,1
87,88,15625759,729,0,1,30,9,0.0,2,1,0,151869.35,0
88,89,15622897,646,0,0,46,4,0.0,3,1,0,93251.42,1
89,90,15767954,635,1,0,28,3,81623.67,2,1,1,156791.36,0
90,91,15757535,647,2,0,44,5,0.0,3,1,1,174205.22,1
91,92,15731511,808,0,1,45,7,118626.55,2,1,0,147132.46,0
92,93,15809248,524,0,0,36,10,0.0,2,1,0,109614.57,0
93,94,15640635,769,0,1,29,8,0.0,2,1,1,172290.61,0
94,95,15676966,730,2,1,42,4,0.0,2,0,1,85982.47,0
95,96,15699461,515,2,1,35,10,176273.95,1,0,1,121277.78,0
96,97,15738721,773,2,1,41,9,102827.44,1,0,1,64595.25,0
97,98,15693683,814,1,1,29,8,97086.4,2,1,1,197276.13,0
98,99,15604348,710,2,1,22,8,0.0,2,0,0,99645.04,0
99,100,15633059,413,0,1,34,9,0.0,2,0,0,6534.18,0
100,101,15808582,665,0,0,40,6,0.0,1,1,1,161848.03,0
101,102,15743192,623,0,0,44,6,0.0,2,0,0,167162.43,0
102,103,15580146,738,0,1,31,9,82674.15,1,1,0,41970.72,0
103,104,15776605,528,2,1,36,7,0.0,2,1,0,60536.56,0
104,105,15804919,670,2,0,65,1,0.0,1,1,1,177655.68,1
105,106,15613854,622,2,0,46,4,107073.27,2,1,1,30984.59,1
106,107,15599195,582,1,1,32,1,88938.62,1,1,1,10054.53,0
107,108,15812878,785,1,0,36,2,99806.85,1,0,1,36976.52,0
108,109,15602312,605,2,1,33,5,150092.8,1,0,0,71862.79,0
109,110,15744689,479,1,1,35,9,92833.89,1,1,0,99449.86,1
110,111,15803526,685,1,1,30,3,90536.81,1,0,1,63082.88,0
111,112,15665790,538,1,1,39,7,108055.1,2,1,0,27231.26,0
112,113,15715951,562,0,1,42,2,100238.35,1,0,0,86797.41,0
113,114,15591100,675,2,1,36,9,106190.55,1,0,1,22994.32,0
114,115,15609618,721,1,1,28,9,154475.54,2,0,1,101300.94,1
115,116,15675522,628,1,0,30,9,132351.29,2,1,1,74169.13,0
116,117,15705512,668,1,0,37,6,167864.4,1,1,0,115638.29,0
117,118,15698028,506,0,0,41,1,0.0,2,1,0,31766.3,0
118,119,15661670,524,1,0,31,8,107818.63,1,1,0,199725.39,1
119,120,15600781,699,1,1,34,4,185173.81,2,1,0,120834.48,0
120,121,15682472,828,0,1,34,8,129433.34,2,0,0,38131.77,0
121,122,15580203,674,2,1,39,6,120193.42,1,0,0,100130.95,0
122,123,15690673,656,0,0,39,6,0.0,2,1,0,141069.88,0
123,124,15760085,684,1,0,48,10,126384.42,1,1,1,198129.36,0
124,125,15779659,625,0,0,28,3,0.0,1,0,0,183646.41,0
125,126,15627360,432,0,1,42,9,152603.45,1,1,0,110265.24,1
126,127,15671137,549,0,0,52,1,0.0,1,0,1,8636.05,1
127,128,15782688,625,1,1,56,0,148507.24,1,1,0,46824.08,1
128,129,15575492,828,0,0,41,7,0.0,2,1,0,171378.77,0
129,130,15591607,770,0,1,24,9,101827.07,1,1,0,167256.35,0
130,131,15740404,758,0,0,34,3,0.0,2,1,1,124226.16,0
131,132,15718369,795,1,0,33,9,130862.43,1,1,1,114935.21,0
132,133,15677871,687,0,1,38,9,122570.87,1,1,1,35608.88,0
133,134,15642004,686,0,1,25,1,0.0,2,0,1,16459.37,0
134,135,15712543,789,1,1,39,7,124828.46,2,1,1,124411.08,0
135,136,15584518,589,1,0,50,5,144895.05,2,1,1,34941.23,0
136,137,15802381,461,1,0,34,5,63663.93,1,0,1,167784.28,0
137,138,15610156,637,0,1,40,2,133463.1,1,0,1,93165.34,0
138,139,15594408,584,2,0,48,2,213146.2,1,1,0,75161.25,1
139,140,15640905,579,2,0,35,1,129490.36,2,0,1,8590.83,1
140,141,15698932,756,1,1,44,10,137452.09,1,1,0,189543.9,0
141,142,15724944,663,0,1,34,7,0.0,2,1,1,180427.24,0
142,143,15628145,682,0,0,43,5,125851.93,1,1,1,193318.33,0
143,144,15713483,793,2,1,52,2,0.0,1,1,0,159123.82,1
144,145,15612350,691,0,0,31,5,40915.55,1,1,0,126213.84,1
145,146,15800703,485,2,0,21,5,113157.22,1,1,1,54141.5,0
146,147,15705707,635,2,0,29,8,138296.94,2,1,0,141075.51,0
147,148,15754105,650,0,1,37,5,106967.18,1,0,0,24495.03,0
148,149,15703264,735,0,1,44,9,120681.63,1,1,0,74836.34,0
149,150,15794413,416,0,1,32,0,0.0,2,0,1,878.87,0
150,151,15650237,754,2,0,32,7,0.0,2,1,0,89520.75,0
151,152,15759618,535,0,0,48,9,0.0,1,1,0,149892.79,1
152,153,15811589,716,2,1,42,8,0.0,2,1,0,180800.42,0
153,154,15689044,539,0,1,37,2,127609.59,1,1,0,98646.22,0
154,155,15709368,614,0,0,43,6,0.0,2,1,1,109041.53,0
155,156,15679145,706,2,1,57,7,0.0,1,1,0,17941.16,1
156,157,15655007,758,0,0,33,7,0.0,2,0,0,82996.47,0
157,158,15623595,586,2,0,28,2,0.0,2,1,1,92067.35,0
158,159,15589975,646,0,0,73,6,97259.25,1,0,1,104719.66,0
159,160,15804017,631,1,0,33,4,123246.7,1,0,0,112687.57,0
160,161,15692132,717,2,0,22,6,101060.25,1,0,1,84699.56,0
161,162,15641122,684,0,1,30,2,0.0,2,1,0,83473.82,0
162,163,15630910,800,0,0,49,7,108007.36,1,0,0,47125.11,0
163,164,15680772,721,2,0,36,2,0.0,2,1,1,106977.8,0
164,165,15658929,683,2,1,29,0,133702.89,1,1,0,55582.54,1
165,166,15585388,660,1,1,31,9,125189.75,2,1,1,139874.43,0
166,167,15724623,704,1,0,24,7,113034.22,1,1,0,162503.48,1
167,168,15588537,615,2,0,41,9,109013.23,1,1,0,196499.96,0
168,169,15574692,667,2,0,39,2,0.0,2,1,0,40721.24,1
169,170,15611325,682,1,1,24,9,57929.81,2,0,0,53134.3,0
170,171,15587562,484,0,0,29,4,130114.39,1,1,0,164017.89,0
171,172,15613172,628,1,1,27,5,95826.49,2,1,0,155996.96,0
172,173,15651022,480,1,1,44,10,129608.57,1,1,0,5472.7,1
173,174,15586310,578,0,1,30,4,169462.09,1,1,0,112187.11,0
174,175,15625524,512,0,1,40,5,0.0,2,1,1,146457.83,0
175,176,15755209,484,2,0,35,7,133868.21,1,1,1,27286.1,0
176,177,15645248,510,0,0,30,0,0.0,2,1,1,130553.47,0
177,178,15790355,606,1,1,36,5,190479.48,2,0,0,179351.89,0
178,179,15762615,597,2,0,40,8,101993.12,1,0,1,94774.12,0
179,180,15625426,754,1,0,55,3,161608.81,1,1,0,8080.85,1
180,181,15716334,850,2,0,45,2,122311.21,1,1,1,19482.5,0
181,182,15789669,510,0,1,65,2,0.0,2,1,1,48071.61,0
182,183,15621075,778,1,0,45,1,162150.42,2,1,0,174531.27,0
183,184,15810845,636,0,1,42,2,0.0,2,1,1,55470.78,0
184,185,15719377,804,0,0,50,4,0.0,1,1,1,8546.87,1
185,186,15654506,514,0,1,32,8,0.0,2,1,0,95857.18,0
186,187,15771977,730,0,0,39,1,99010.67,1,1,0,194945.8,0
187,188,15708710,525,2,0,37,0,0.0,1,0,1,131521.72,0
188,189,15726676,616,2,1,30,5,0.0,2,0,1,196108.51,0
189,190,15587421,687,1,0,34,7,111388.18,2,1,0,148564.76,0
190,191,15726931,715,0,0,41,8,56214.85,2,0,0,92982.61,1
191,192,15771086,512,0,0,36,3,84327.77,2,1,0,17675.36,0
192,193,15756850,479,0,1,40,1,0.0,2,0,0,114996.43,0
193,194,15702741,601,0,1,32,8,93012.89,1,1,0,86957.42,0
194,195,15679200,580,2,1,29,9,61710.44,2,1,0,128077.8,0
195,196,15594815,807,0,1,35,3,174790.15,1,1,1,600.36,0
196,197,15635905,616,2,0,32,6,0.0,2,1,1,43001.46,0
197,198,15777892,721,1,1,37,3,107720.64,1,1,1,158591.12,0
198,199,15656176,501,0,1,57,10,0.0,2,1,1,47847.19,0
199,200,15811127,521,0,1,35,6,96423.84,1,1,0,10488.44,0
200,201,15604482,850,2,1,30,2,141040.01,1,1,1,5978.2,0
201,202,15622911,759,0,1,42,4,105420.18,1,0,1,121409.06,0
202,203,15600974,516,2,1,50,5,0.0,1,0,1,146145.93,1
203,204,15727868,711,0,0,38,2,129022.06,2,1,1,14374.86,1
204,205,15627801,512,2,1,33,3,176666.62,1,1,0,94670.77,0
205,206,15773039,550,0,1,37,3,0.0,1,1,1,179670.31,0
206,207,15755262,608,2,0,41,3,89763.84,1,0,0,199304.74,1
207,208,15679531,618,0,1,34,5,134954.53,1,1,1,151954.39,0
208,209,15684181,643,0,1,45,5,0.0,1,1,0,142513.5,1
209,210,15612087,671,0,1,45,2,106376.85,1,0,1,158264.62,0
210,211,15752047,689,1,1,33,2,161814.64,2,1,0,169381.9,0
211,212,15624592,603,0,1,31,8,0.0,2,1,1,169915.02,0
212,213,15573152,620,0,0,41,9,0.0,2,0,0,88852.47,0
213,214,15594917,676,0,0,34,1,63095.01,1,1,1,40645.81,0
214,215,15785542,572,1,1,26,4,118287.01,2,0,0,60427.3,0
215,216,15723488,668,1,1,47,7,106854.21,1,0,1,157959.02,1
216,217,15680920,695,0,1,46,7,49512.55,1,1,0,133007.34,0
217,218,15786308,730,2,0,33,9,0.0,2,0,0,176576.62,0
218,219,15659366,807,0,1,43,1,105799.32,2,1,0,34888.04,1
219,220,15774854,592,0,1,54,8,0.0,1,1,1,28737.71,1
220,221,15725311,726,0,0,31,9,114722.05,2,1,1,98178.57,0
221,222,15787155,514,2,1,30,7,0.0,1,0,1,125010.24,0
222,223,15727829,567,0,1,42,2,0.0,2,1,1,167984.61,0
223,224,15733247,850,0,1,33,10,0.0,1,1,0,4861.72,1
224,225,15568748,671,1,1,45,6,99564.22,1,1,1,108872.45,1
225,226,15699029,670,0,1,37,4,170557.91,2,1,0,198252.88,0
226,227,15774393,694,0,0,30,9,0.0,2,1,1,26960.31,0
227,228,15676895,547,1,0,39,6,74596.15,3,1,1,85746.52,1
228,229,15637753,751,1,1,50,2,96888.39,1,1,0,77206.25,1
229,230,15605461,594,1,0,29,3,130830.22,1,1,0,61048.53,0
230,231,15808473,673,0,1,72,1,0.0,2,0,1,111981.19,0
231,232,15627000,610,0,1,40,0,0.0,2,1,0,62232.6,0
232,233,15787174,512,0,0,37,1,0.0,2,0,1,156105.03,0
233,234,15723886,767,1,1,20,3,119714.25,2,0,1,150135.38,0
234,235,15704769,585,0,0,67,5,113978.97,2,0,1,93146.11,0
235,236,15772896,763,1,1,42,6,100160.75,1,1,0,33462.94,1
236,237,15711540,712,0,0,29,2,0.0,1,1,1,144375.0,0
237,238,15764866,539,1,0,43,3,116220.5,3,1,0,55803.96,1
238,239,15794056,668,0,0,46,2,0.0,3,1,0,89048.46,1
239,240,15795149,703,0,1,28,2,81173.83,2,0,1,162812.16,0
240,241,15812009,662,2,1,38,4,0.0,2,1,0,136259.65,0
241,242,15651001,725,1,0,39,5,116803.8,1,1,0,124052.97,0
242,243,15813844,703,0,1,37,8,105961.68,2,0,1,74158.8,0
243,244,15596175,659,1,1,67,6,117411.6,1,1,1,45071.09,1
244,245,15576269,523,2,1,34,7,0.0,2,1,0,62030.06,0
245,246,15797219,635,0,0,40,10,123497.58,1,1,0,131953.23,1
246,247,15685500,772,1,1,26,7,152400.51,2,1,0,79414.0,0
247,248,15599792,545,0,0,26,1,0.0,2,1,1,199638.56,0
248,249,15657566,634,1,1,24,8,103097.85,1,1,1,157577.29,0
249,250,15772423,739,1,1,54,8,126418.14,1,1,0,134420.75,1
250,251,15628112,771,1,0,36,5,77846.9,1,0,0,99805.99,0
251,252,15753754,587,2,0,34,1,0.0,2,1,1,97932.68,0
252,253,15793726,681,0,0,79,0,0.0,2,0,1,170968.99,0
253,254,15694717,544,1,1,37,2,79731.91,1,1,1,57558.95,0
254,255,15665834,696,2,1,28,8,0.0,1,0,0,176713.47,0
255,256,15765297,766,2,1,41,0,0.0,2,0,1,34283.23,0
256,257,15636684,727,0,1,34,10,0.0,2,1,1,198637.34,0
257,258,15592979,671,1,0,34,6,37266.67,2,0,0,156917.12,0
258,259,15750803,693,0,0,30,6,127992.25,1,1,1,50457.2,0
259,260,15607178,850,1,1,38,3,54901.01,1,1,1,140075.55,0
260,261,15713853,732,1,1,42,9,108748.08,2,1,1,65323.11,0
261,262,15673481,726,2,0,48,6,99906.19,1,1,0,64323.24,0
262,263,15686776,557,0,0,32,6,184686.41,2,1,0,14956.44,0
263,264,15673693,682,0,0,26,0,110654.02,1,0,1,111879.21,0
264,265,15700696,738,2,1,31,9,79019.8,1,1,1,18606.23,0
265,266,15813163,531,2,0,36,9,99240.51,1,1,0,123137.01,0
266,267,15653857,498,0,1,34,2,0.0,2,1,1,148528.24,0
267,268,15777076,651,0,1,36,7,0.0,2,1,0,13898.31,0
268,269,15717398,549,2,0,39,7,0.0,1,0,0,81259.25,1
269,270,15799217,791,1,0,35,7,52436.2,1,1,0,161051.75,0
270,271,15787071,650,2,1,41,9,0.0,2,0,1,191599.67,0
271,272,15619955,733,1,1,34,3,100337.96,3,1,0,48559.19,1
272,273,15796505,811,1,0,34,1,149297.19,2,1,1,186339.74,0
273,274,15725166,707,0,1,30,8,0.0,2,1,0,33159.37,0
274,275,15800116,712,1,1,28,4,145605.44,1,0,1,93883.53,0
275,276,15758685,706,2,0,37,7,0.0,2,1,1,110899.3,0
276,277,15694456,756,0,1,62,3,0.0,1,1,1,11199.04,1
277,278,15767339,777,0,0,53,10,0.0,2,1,0,189992.97,0
278,279,15683562,646,0,1,35,6,84026.86,1,0,1,164255.69,0
279,280,15782210,714,0,1,46,1,0.0,1,1,0,152167.79,1
280,281,15668893,782,0,1,39,8,0.0,2,1,1,33949.67,0
281,282,15669169,775,2,1,29,10,0.0,2,1,1,68143.93,0
282,283,15643024,479,1,1,35,4,138718.92,1,1,1,47251.79,1
283,284,15699389,807,0,1,42,7,118274.71,1,1,1,25885.72,0
284,285,15708608,799,0,0,22,8,174185.98,2,0,1,192633.85,0
285,286,15626144,675,0,1,40,7,113208.86,2,1,0,34577.36,0
286,287,15573112,602,2,1,29,5,103907.28,1,1,0,161229.84,0
287,288,15790678,475,0,0,32,8,119023.28,1,1,0,100816.29,0
288,289,15727556,744,2,0,26,5,166297.89,1,1,1,181694.44,0
289,290,15697307,588,2,1,34,10,0.0,2,1,0,79078.91,0
290,291,15652266,703,1,1,42,9,63227.0,1,0,1,137316.32,0
291,292,15607098,747,2,0,41,5,94521.17,2,1,0,194926.86,0
292,293,15655774,583,0,1,27,7,0.0,2,1,0,51285.49,0
293,294,15590241,750,2,0,34,9,112822.26,1,0,0,150401.53,1
294,295,15785819,681,0,1,38,3,0.0,2,1,1,112491.96,0
295,296,15723654,773,0,1,25,2,135903.33,1,1,0,73656.38,0
296,297,15774510,714,0,0,31,4,125169.26,1,1,1,106636.89,0
297,298,15684173,687,2,0,44,7,0.0,3,1,0,155853.52,1
298,299,15650068,511,0,1,58,0,149117.31,1,1,1,162599.51,0
299,300,15811490,627,0,1,33,5,0.0,2,1,1,103737.82,0
300,301,15803976,694,0,0,31,10,0.0,2,1,0,160990.27,0
301,302,15682541,616,2,0,36,6,132311.71,1,0,0,15462.84,0
302,303,15695699,687,0,1,35,8,0.0,2,1,0,10334.05,0
303,304,15624188,712,0,0,33,6,0.0,2,1,1,190686.16,0
304,305,15812191,553,0,1,33,4,118082.89,1,0,0,94440.45,0
305,306,15636673,667,0,1,31,1,119266.69,1,1,1,28257.63,0
306,307,15594898,731,0,1,43,2,0.0,1,1,1,170034.95,1
307,308,15660211,629,1,1,35,7,156847.29,2,1,0,31824.29,0
308,309,15773972,614,0,1,50,4,137104.47,1,1,0,127166.49,1
309,310,15746726,438,1,1,31,8,78398.69,1,1,0,44937.01,0
310,311,15712287,652,0,0,80,4,0.0,2,1,1,188603.07,0
311,312,15702919,729,1,1,30,6,63669.42,1,1,0,145111.37,0
312,313,15674398,642,0,1,38,3,0.0,2,0,0,171463.83,0
313,314,15797960,806,1,0,59,0,135296.33,1,1,0,182822.5,0
314,315,15631868,744,2,1,36,2,153804.44,1,1,1,87213.33,0
315,316,15581539,474,2,1,37,3,0.0,2,0,0,57175.32,0
316,317,15662736,559,0,1,49,2,147069.78,1,1,0,120540.83,1
317,318,15666252,706,2,1,42,9,0.0,2,1,1,28714.34,0
318,319,15677512,628,2,0,22,3,0.0,1,1,0,85426.28,0
319,320,15626114,429,0,1,24,4,95741.75,1,1,0,46170.75,0
320,321,15810834,525,2,0,57,2,145965.33,1,1,1,64448.36,0
321,322,15678910,680,0,0,30,8,141441.75,1,1,1,16278.97,0
322,323,15694408,749,0,1,40,1,139290.41,1,1,0,182855.42,1
323,324,15585215,763,0,0,31,4,0.0,2,0,0,50404.72,0
324,325,15682757,734,0,1,30,3,0.0,2,1,0,107640.25,0
325,326,15736601,716,0,1,35,4,144428.87,1,1,0,134132.65,0
326,327,15601848,594,0,1,35,2,0.0,2,1,0,103480.69,0
327,328,15736008,644,0,0,46,9,95441.27,1,1,0,108761.05,1
328,329,15669064,671,1,1,35,1,144848.74,1,1,1,179012.3,0
329,330,15624528,664,1,1,26,7,116244.14,2,1,1,95145.14,0
330,331,15598493,656,0,1,50,7,0.0,2,0,1,72143.44,0
331,332,15601274,667,2,0,40,1,146502.07,1,1,0,19162.89,0
332,333,15702669,663,1,1,44,2,117028.6,2,0,1,144680.18,0
333,334,15728669,584,1,0,30,8,112013.81,1,1,0,177772.03,1
334,335,15742668,626,2,0,37,6,108269.37,1,1,0,5597.94,0
335,336,15697441,485,0,1,29,7,182123.79,1,1,0,116828.51,1
336,337,15740476,659,1,0,32,3,150923.74,2,0,1,174652.51,0
337,338,15648064,649,0,1,33,2,0.0,2,1,0,2010.98,0
338,339,15636624,805,2,0,39,5,165272.13,1,1,0,14109.85,1
339,340,15807923,716,1,0,39,10,115301.31,1,1,0,43527.4,1
340,341,15745844,642,1,0,40,6,129502.49,2,0,1,86099.23,1
341,342,15786170,659,0,1,31,4,118342.26,1,0,0,161574.19,0
342,343,15681081,545,2,0,47,5,0.0,2,1,1,38970.14,0
343,344,15684484,543,0,1,22,8,0.0,2,0,0,127587.22,0
344,345,15785869,718,0,0,25,7,0.0,2,1,0,30380.12,0
345,346,15763859,840,0,0,43,7,0.0,2,1,0,90908.95,0
346,347,15658935,630,1,0,34,9,106937.05,2,1,0,138275.01,0
347,348,15747358,643,1,1,59,3,170331.37,1,1,1,32171.79,0
348,349,15735203,654,1,0,32,1,114510.85,1,1,1,126143.23,0
349,350,15576256,582,0,1,39,5,0.0,2,1,1,129892.93,0
350,351,15659420,659,2,1,32,3,107594.11,2,1,1,102416.84,0
351,352,15593365,762,2,1,39,2,81273.13,1,1,1,18719.67,0
352,353,15777352,568,2,0,32,7,169399.6,1,1,0,61936.22,0
353,354,15812007,670,2,1,25,6,0.0,2,1,1,78358.94,0
354,355,15625461,613,0,0,45,1,187841.99,2,1,1,147224.27,0
355,356,15739438,539,0,1,30,0,0.0,2,1,0,160979.66,0
356,357,15611759,850,2,0,57,8,126776.3,2,1,1,132298.49,0
357,358,15661629,522,2,1,34,9,126436.29,1,1,0,174248.52,1
358,359,15633950,737,0,1,41,1,101960.74,1,1,1,123547.28,0
359,360,15592386,520,0,1,58,3,0.0,2,0,1,32790.02,0
360,361,15803716,706,2,1,28,3,0.0,2,0,1,181543.67,0
361,362,15696674,643,1,0,45,2,150842.93,1,0,1,2319.96,1
362,363,15706365,648,0,0,50,9,102535.57,1,1,1,189543.19,0
363,364,15745088,443,1,0,29,9,99027.61,2,1,0,10940.4,0
364,365,15676715,640,0,1,68,9,0.0,2,1,1,199493.38,0
365,366,15613085,628,2,0,33,3,0.0,1,1,1,188193.25,0
366,367,15633537,540,1,0,42,9,87271.41,2,1,0,172572.64,0
367,368,15594720,460,1,0,35,8,102742.91,2,1,1,189339.6,0
368,369,15684042,636,1,1,34,2,40105.51,2,0,1,53512.16,0
369,370,15583303,593,0,0,29,2,152265.43,1,1,0,34004.44,0
370,371,15611579,801,2,1,42,4,141947.67,1,1,1,10598.29,0
371,372,15774696,640,1,0,75,1,106307.91,2,0,1,113428.77,0
372,373,15694506,611,1,1,31,0,107884.81,2,1,1,183487.98,0
373,374,15688074,802,1,1,31,1,125013.72,1,1,1,187658.09,0
374,375,15759537,717,1,1,35,7,58469.37,2,1,1,172459.39,0
375,376,15758449,769,0,0,39,8,0.0,1,0,1,21016.0,0
376,377,15583456,745,1,1,45,10,117231.63,3,1,1,122381.02,1
377,378,15667871,572,2,1,35,4,152390.26,1,1,0,128123.66,0
378,379,15677371,629,2,0,30,2,34013.63,1,1,0,19570.63,0
379,380,15629677,687,2,0,39,2,0.0,3,0,0,188150.6,1
380,381,15713578,483,0,0,50,9,0.0,2,1,1,111020.24,0
381,382,15591509,690,0,1,36,7,101583.11,2,1,0,123775.15,0
382,383,15568240,492,1,0,30,10,77168.87,2,0,1,146700.22,0
383,384,15622993,709,1,1,28,8,124695.72,2,1,0,145251.35,0
384,385,15689294,705,1,1,44,3,105934.96,1,1,0,82463.69,0
385,386,15720910,560,0,0,66,9,0.0,1,1,1,15928.49,0
386,387,15721181,611,2,1,46,6,0.0,2,1,0,45886.33,0
387,388,15776433,730,2,1,62,2,0.0,2,1,1,186489.95,0
